日期,代码,名称,当前价,涨幅(%),建议止损价,FVG,换手率(%),市盈率(动),总市值(亿),流通市值(亿),年涨幅(%)
2025-12-25,603063,禾望电气,34.97,-0.14,31.75,bull,6.36,35.91,160.07,160.07,76.26
2025-12-25,603068,博通集成,37.37,0.54,34.75,bull,3.14,452.47,56.21,56.21,35.15
2025-12-25,603070,万控智造,13.18,2.17,12.41,bull,0.77,65.91,52.85,52.12,0.76
2025-12-25,603079,圣达生物,17.35,1.82,15.95,bull,2.37,46.12,32.8,32.8,28.8
2025-12-25,603091,众鑫股份,82.9,-2.93,77.94,bull,2.84,32.13,84.76,25.55,80.89
2025-12-25,603085,天成自控,11.34,5.1,10.22,bull,5.97,67.11,45.03,45.03,4.52
2025-12-25,603090,宏盛股份,60.0,-2.71,54.3,bull,10.1,69.9,60.0,60.0,248.63
2025-12-25,603095,越剑智能,15.96,9.99,13.63,bull,4.37,38.28,41.22,41.22,7.26
2025-12-25,603097,江苏华辰,30.03,-1.28,27.79,bull,5.45,51.29,49.38,48.05,28.77
2025-12-25,603098,森特股份,14.29,5.77,13.18,bull,4.14,60.08,77.12,76.99,49.63
2025-12-25,603111,康尼机电,7.07,0.86,6.83,bull,1.13,17.54,60.95,59.85,22.11
2025-12-25,603156,养元饮品,27.22,1.19,25.61,bull,0.43,22.99,343.05,343.05,29.74
2025-12-25,603159,上海亚虹,26.35,4.15,22.18,bull,6.06,-655.53,36.89,36.89,70.44
2025-12-25,603163,圣晖集成,85.92,10.0,70.67,bull,7.23,67.37,85.92,85.92,234.71
2025-12-25,603161,科华控股,13.87,0.51,13.21,bull,1.29,24.75,26.96,26.46,35.58
2025-12-25,603160,汇顶科技,78.84,0.36,75.63,bull,0.68,40.61,366.34,366.34,-1.45
2025-12-25,603166,福达股份,16.06,2.75,14.68,bull,3.29,35.12,103.69,102.9,123.99
2025-12-25,603185,弘元绿能,31.3,2.69,27.84,bull,3.63,68.14,213.8,212.53,92.62
2025-12-25,603186,华正新材,45.76,-3.11,42.27,bull,6.08,77.85,64.99,64.99,89.95
2025-12-25,603207,小方制药,29.03,0.03,28.2,bull,1.04,20.58,46.61,15.79,12.13
2025-12-25,603203,快克智能,38.42,1.77,35.06,bull,5.03,36.83,97.46,95.72,71.75
2025-12-25,603208,江山欧派,15.14,2.09,14.29,bull,2.08,-48.49,26.82,26.82,-16.86
2025-12-25,603212,赛伍技术,15.0,0.0,13.61,bull,12.19,-42.07,65.62,65.62,47.35
2025-12-25,603211,晋拓股份,22.08,2.22,19.63,bull,5.62,80.55,60.02,60.02,47.79
2025-12-25,603216,梦天家居,39.0,5.18,33.01,bull,2.65,115.69,86.85,86.85,265.85
2025-12-25,603218,日月股份,13.34,1.44,12.65,bull,0.91,23.73,137.45,137.14,14.02
2025-12-25,603225,新凤鸣,19.29,5.47,17.09,bull,1.02,25.39,294.09,292.36,76.81
2025-12-25,603256,宏和科技,38.16,0.45,34.63,bull,3.58,181.39,335.7,335.7,357.01
2025-12-25,603261,*ST立航,24.99,3.48,22.78,bull,2.8,-32.71,19.37,19.37,-10.11
2025-12-25,603269,海鸥股份,12.9,2.3,11.72,bull,3.11,58.31,39.83,39.83,73.15
2025-12-25,603267,鸿远电子,51.78,0.19,48.76,bull,3.49,40.35,119.65,119.65,43.99
2025-12-25,603268,*ST松发,89.26,5.0,76.93,bull,4.59,51.12,866.52,110.83,125.06
2025-12-25,603275,众辰科技,42.61,1.91,39.82,bull,6.1,33.94,63.39,17.7,25.8
2025-12-25,603273,天元智能,20.39,-0.05,19.26,bull,9.71,167.87,43.7,11.43,23.8
2025-12-25,603278,大业股份,11.64,10.02,9.61,bull,18.87,127.64,39.78,39.78,53.36
2025-12-25,603283,赛腾股份,45.3,0.67,42.84,bull,4.39,22.98,122.84,122.84,-7.98
2025-12-25,603298,杭叉集团,27.28,-0.94,26.0,bull,0.34,15.29,357.32,357.32,58.7
2025-12-25,603308,应流股份,42.42,1.02,38.5,bull,2.06,73.5,288.05,288.05,202.35
2025-12-25,603311,金海高科,14.75,-0.87,13.71,bull,10.11,34.08,34.79,34.79,49.44
2025-12-25,603316,诚邦股份,14.34,0.35,12.9,bull,2.43,-391.89,37.9,37.9,205.11
2025-12-25,603319,美湖股份,37.3,0.46,33.29,bull,4.27,73.77,126.5,126.5,167.96
2025-12-25,603331,百达精工,13.0,3.42,12.04,bull,5.49,32.99,26.28,26.28,45.58
2025-12-25,603341,龙旗科技,42.57,-0.28,40.26,bull,2.29,29.6,200.22,113.33,-7.98
2025-12-25,603339,四方科技,13.24,1.61,12.68,bull,2.3,29.71,40.97,40.97,6.69
2025-12-25,603375,盛景微,37.29,-0.11,35.43,bull,2.12,146.24,37.54,23.78,0.0
2025-12-25,603389,*ST亚振,43.0,5.01,38.53,bull,0.65,-269.76,112.98,112.98,601.47
