日期,回测,代码,当前价,涨幅(%),综合得分,信号强度,动能衰减,资金承接,结构间隔,破位幅度,左波峰,右波峰
2025-12-01,,600839,9.57,1.16,30,谨慎做多,【1.5–2.0】1.61 → 下跌明显衰竭,【<-0.5】-1.58 → 资金流出,【>25】26 → 结构偏老,【>5%】6.05% → 深度破位（风险）,"{'日期': '2025-10-23', '价格': 9.92, '动能值': -0.6701, 'obv': 14658816118}","{'日期': '2025-11-28', '价格': 9.32, '动能值': -0.4162, 'obv': 14522298648}"
2025-12-01,,600906,6.86,0.0,50,谨慎做多,【1.2–1.5】1.34 → 下跌开始衰竭,【0.5–2.0】1.3 → 资金承接,【>25】44 → 结构偏老,【2–5%】4.63% → 正常破位,"{'日期': '2025-09-19', '价格': 7.13, '动能值': -0.4136, 'obv': 1601164167}","{'日期': '2025-11-28', '价格': 6.8, '动能值': -0.3092, 'obv': 1629273064}"
2025-12-01,,600927,14.38,0.42,50,谨慎做多,【1.2–1.5】1.46 → 下跌开始衰竭,【≥2.0】2.44 → 强力吸筹,【>25】77 → 结构偏老,【>5%】7.58% → 深度破位（风险）,"{'日期': '2025-08-05', '价格': 15.31, '动能值': -1.3682, 'obv': 184656623}","{'日期': '2025-11-28', '价格': 14.15, '动能值': -0.9379, 'obv': 204565349}"
2025-12-01,,600999,16.4,0.68,60,谨慎做多,【≥2.0】2.0 → 恐慌充分释放,【-0.5–0.5】0.3 → 资金观望,【>25】44 → 结构偏老,【2–5%】4.59% → 正常破位,"{'日期': '2025-09-19', '价格': 17.0, '动能值': -1.5417, 'obv': 531395602}","{'日期': '2025-11-28', '价格': 16.22, '动能值': -0.7707, 'obv': 550610609}"
2025-12-01,,601006,5.53,0.91,20,谨慎做多,【1.2–1.5】1.38 → 下跌开始衰竭,【<-0.5】-19.06 → 资金流出,【>25】48 → 结构偏老,【>5%】8.83% → 深度破位（风险）,"{'日期': '2025-09-15', '价格': 6.0, '动能值': -0.2117, 'obv': 418683440}","{'日期': '2025-11-28', '价格': 5.47, '动能值': -0.1538, 'obv': -1537583490}"
2025-12-01,,601186,7.77,0.52,40,谨慎做多,【1.5–2.0】1.71 → 下跌明显衰竭,【<-0.5】-1.09 → 资金流出,【>25】69 → 结构偏老,【2–5%】4.71% → 正常破位,"{'日期': '2025-08-15', '价格': 8.07, '动能值': -0.3416, 'obv': 1990348980}","{'日期': '2025-11-28', '价格': 7.69, '动能值': -0.1999, 'obv': 1939587384}"
2025-12-01,,601390,5.48,0.92,70,谨慎做多,【1.5–2.0】1.79 → 下跌明显衰竭,【≥2.0】2.96 → 强力吸筹,【>25】69 → 结构偏老,【2–5%】4.27% → 正常破位,"{'日期': '2025-08-15', '价格': 5.62, '动能值': -0.2799, 'obv': 2470777323}","{'日期': '2025-11-28', '价格': 5.38, '动能值': -0.1566, 'obv': 2821817470}"
2025-12-01,,601858,18.86,0.43,40,谨慎做多,【1.5–2.0】1.97 → 下跌明显衰竭,【<-0.5】-1.92 → 资金流出,【>25】38 → 结构偏老,【2–5%】3.02% → 正常破位,"{'日期': '2025-09-29', '价格': 19.19, '动能值': -1.5065, 'obv': 509996546}","{'日期': '2025-11-28', '价格': 18.61, '动能值': -0.7658, 'obv': 501503712}"
2025-12-01,,603118,11.49,1.5,90,强烈做多,【≥2.0】2.77 → 恐慌充分释放,【0.5–2.0】1.61 → 资金承接,【15–25】21 → 结构健康（理想）,【0–2%】0.44% → 诱空假破位,"{'日期': '2025-10-23', '价格': 11.3, '动能值': -1.3815, 'obv': 2204365817}","{'日期': '2025-11-28', '价格': 11.25, '动能值': -0.499, 'obv': 2257003978}"
2025-12-01,,603123,11.63,0.09,40,谨慎做多,【≥2.0】2.17 → 恐慌充分释放,【<-0.5】-2.4 → 资金流出,【>25】47 → 结构偏老,【>5%】13.0% → 深度破位（风险）,"{'日期': '2025-09-16', '价格': 13.23, '动能值': -1.5066, 'obv': 1794151436}","{'日期': '2025-11-28', '价格': 11.51, '动能值': -0.6942, 'obv': 1752261439}"
